rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate
1341,216.02,216,55652896,55652896.02,2,CP,04h55m55.2s,73.980013,,,-63d15m37.19s,-63.26033,,,-22.699,0.045,-0.045,0,1,-56.352,0.054,-0.054,0,1,2459144.784,0.00582,-0.00582,0,1,17.069723,0.000187,-0.000187,0,1,2.696,0.864,-0.864,0,1,3671,8.80147,-8.80147,0,1,3.379,0.341803,-0.341803,0,1,21.0761,,,,,596,,,,,11.5748,0.006,-0.006,0,1,177.945,0.879,-0.879,0,1,5025.77,125,-125,0,1,4.66348,0.2,-0.2,0,1,0.8,0.05,-0.05,0,1,10/22/2018 18:34,12/18/2020 16:00
1342,2160.01,2160,284477310,284477310,1,PC,19h24m30.23s,291.125974,,,+56d52m52.67s,56.881296,,,-18.278,0.048,-0.048,0,1,6.914,0.047,-0.047,0,1,2458685.363,0.00334,-0.00334,0,1,2.23917,0.00006,-0.00006,0,1,1.761,0.295,-0.295,0,1,480,1.30773,-1.30773,0,1,2.69279,0.198288,-0.198288,0,1,675.363,,,,,1420,,,,,10.6071,0.006,-0.006,0,1,244.804,1.493,-1.493,0,1,6021,127.8,-127.8,0,1,4.29,0.08,-0.08,0,1,1.25,0.06,-0.06,0,1,8/10/2020 17:26,10/19/2020 15:32
1343,2161.01,2161,366563452,366563452,1,FP,20h17m46.73s,304.444709,,,+77d10m00.04s,77.166678,,,6.846,0.034,-0.034,0,1,116.832,0.042,-0.042,0,1,2458767.121,0.00405,-0.00405,0,1,1.58726,0.00004,-0.00004,0,1,1.481,0.236,-0.236,0,1,200,0.530908,-0.530908,0,1,1.15191,0.096313,-0.096313,0,1,439.075,,,,,1275,,,,,9.5998,0.006,-0.006,0,1,73.1018,0.10265,-0.10265,0,1,5028,122.7,-122.7,0,1,4.55,0.09,-0.09,0,1,0.81,0.05,-0.05,0,1,8/10/2020 17:26,9/23/2020 16:00
1344,2162.01,2162,284564230,284564230,1,PC,19h26m05.77s,291.524023,,,+58d30m36.66s,58.510182,,,15.653,0.042,-0.042,0,1,22.844,0.04,-0.04,0,1,2458684.255,0.00555,-0.00555,0,1,12.97772,0.00037,-0.00037,0,1,2.737,0.628,-0.628,0,1,880,2.51424,-2.51424,0,1,5.1493,0.362109,-0.362109,0,1,105.511,,,,,892,,,,,10.2182,0.008,-0.008,0,1,315.323,2.138,-2.138,0,1,6610,126.1,-126.1,0,1,4.14,0.09,-0.09,0,1,1.66,0.07,-0.07,0,1,8/10/2020 17:26,8/10/2020 12:00
1345,2163.01,2163,43429656,43429656.01,1,PC,17h25m45.83s,261.440953,,,+23d03m25.31s,23.057031,,,2.134,0.031,-0.031,0,1,17.429,0.043,-0.043,0,1,2458983.961,0.00786,-0.00786,0,1,5.21485,0.00122,-0.00122,0,1,4.038,0.434,-0.434,0,1,740,1.72534,-1.72534,0,1,4.0341,0.279619,-0.279619,0,1,716.547,,,,,1441,,,,,10.235,0.006,-0.006,0,1,261.045,1.886,-1.886,0,1,6318,129.5,-129.5,0,1,4.2,0.08,-0.08,0,1,1.47,0.07,-0.07,0,1,8/10/2020 17:26,8/10/2020 12:00
1346,2164.01,2164,49967354,49967354.01,1,PC,18h31m37.86s,277.907741,,,+13d53m52.38s,13.897884,,,-2.183,0.059,-0.059,0,1,-17.898,0.063,-0.063,0,1,2459010.861,0.00467,-0.00467,0,1,1.09333,0.00037,-0.00037,0,1,1.975,0.423,-0.423,0,1,1250,3.70573,-3.70573,0,1,12.2642,,,0,1,2102.07,,,,,1886,,,,,10.879,0.009,-0.009,0,1,529.49,10.5455,-10.5455,0,1,5274,122,-122,0,1,,,,0,1,3.39,,,0,1,8/10/2020 17:26,8/10/2020 12:00
1347,2165.01,2165,73560357,73560357.01,1,APC,18h45m37.38s,281.405754,,,+16d24m55.32s,16.415367,,,1.747,0.076,-0.076,0,1,3.403,0.093,-0.093,0,1,2459011.044,0.00154,-0.00154,0,1,0.9501,0.00011,-0.00011,0,1,2.676,0.268,-0.268,0,1,4870,3.76636,-3.76636,0,1,15.8212,0.828386,-0.828386,0,1,36214.5,,,,,3843,,,,,10.8207,0.006,-0.006,0,1,557.364,14.5685,-14.5685,0,1,7421,199.9,-199.9,0,1,4,0.09,-0.09,0,1,2.16,0.09,-0.09,0,1,8/10/2020 17:26,11/20/2020 12:00
1348,2166.01,2166,233680651,233680651,1,PC,17h21m12.73s,260.30306,,,+63d14m21.42s,63.239282,,,-1.186,0.062,-0.062,0,1,-19.412,0.053,-0.053,0,1,2458686.293,0.00567,-0.00567,0,1,5.13541,0.00015,-0.00015,0,1,3.517,0.3,-0.3,0,1,280,0.378161,-0.378161,0,1,3.28189,0.196202,-0.196202,0,1,652.881,,,,,1408,,,,,10.0788,0.007,-0.007,0,1,348.554,3.466,-3.466,0,1,6515,121,-121,0,1,3.97,0.09,-0.09,0,1,1.99,0.09,-0.09,0,1,8/10/2020 17:26,8/10/2020 12:00
1349,2167.01,2167,160162987,160162987,1,APC,16h09m27.38s,242.364094,,,+84d29m28.03s,84.491119,,,0.046,0.035,-0.035,0,1,49.478,0.037,-0.037,0,1,2458704.045,0.00219,-0.00219,0,1,23.05326,0.00022,-0.00022,0,1,1.489,0.19,-0.19,0,1,2890,1064.5,-1064.5,0,1,17.8168,4.34515,-4.34515,0,1,16.7491,,,,,563,,,,,10.7791,0.006,-0.006,0,1,232.304,1.076,-1.076,0,1,5752,126.2,-126.2,0,1,4.3,0.08,-0.08,0,1,1.19,0.06,-0.06,0,1,8/10/2020 17:26,1/9/2021 12:01
1350,2168.01,2168,364075352,364075352,1,FP,20h24m53.53s,306.223028,,,+74d50m14.43s,74.837343,,,-4.544,0.032,-0.032,0,1,5.466,0.046,-0.046,0,1,2458772.934,0.00176,-0.00176,0,1,37.83633,0.0004,-0.0004,0,1,5.713,0.273,-0.273,0,1,8240,16.4745,-16.4745,0,1,13.5094,0.802617,-0.802617,0,1,80.1971,,,,,833,,,,,10.9591,0.006,-0.006,0,1,310.885,1.81,-1.81,0,1,6641,158.8,-158.8,0,1,4.38,0.09,-0.09,0,1,1.26,0.05,-0.05,0,1,8/10/2020 17:26,8/15/2020 12:00
1351,2169.01,2169,8516795,8516795.01,1,PC,18h36m40.83s,279.170112,,,+23d15m31.03s,23.258619,,,5.407,0.027,-0.027,0,1,-30.933,0.044,-0.044,0,1,2459017.99,0.00263,-0.00263,0,1,8.21176,0.00189,-0.00189,0,1,4.096,0.795,-0.795,0,1,3970,6.42399,-6.42399,0,1,11.8731,0.755816,-0.755816,0,1,402.21,,,,,1247,,,,,10.5527,0.006,-0.006,0,1,351.487,3.5315,-3.5315,0,1,6183,149.7,-149.7,0,1,4,0.09,-0.09,0,1,1.81,0.09,-0.09,0,1,8/10/2020 17:26,8/10/2020 12:00
